user,site,reality_assumption,default_new,score_535,score_565,imbalance,consent_535,consent_565,content_535,content_565,cost_535,cost_565,
0.6 0.2 0.2,0.6 0.2 0.2,5084,780,5600,5600,10,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.6 0.2 0.2,0.2 0.6 0.2,5828,780,7200,7200,-10,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.6 0.2 0.2,0.2 0.2 0.6,5828,2340,7216,7224,6,personalizedAds externalContent,personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.6 0.2 0.2,0.33 0.33 0.33,5524,1287,6640,6640,-3,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.2 0.6 0.2,0.6 0.2 0.2,2788,860,6400,6400,0,,,80,80,20,20,
0.2 0.6 0.2,0.2 0.6 0.2,3196,860,4224,4224,-2,personalizedAds externalContent,personalizedAds externalContent identification,80,80,1,1,
0.2 0.6 0.2,0.2 0.2 0.6,3196,2580,7000,7000,30,,,80,80,1,1,
0.2 0.6 0.2,0.33 0.33 0.33,3029,1419,5418,5418,23,,,80,80,12,12,
0.2 0.2 0.6,0.6 0.2 0.2,6068,660,6400,6400,0,,personalizedContent externalContent identification,80,80,12,12,
0.2 0.2 0.6,0.2 0.6 0.2,6956,660,7200,7200,-10,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.2 0.2 0.6,0.2 0.2 0.6,6956,1980,7216,7224,6,personalizedAds externalContent,personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.2 0.2 0.6,0.33 0.33 0.33,6593,1089,6640,6640,-3,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.33 0.33 0.33,0.6 0.2 0.2,4600,759,5624,5624,2,,,80,80,12,12,
0.33 0.33 0.33,0.2 0.6 0.2,5273,759,5940,5940,-24,analytics personalizedAds externalContent,analytics marketing personalizedContent personalizedAds externalContent identification,80,80,1,1,
0.33 0.33 0.33,0.2 0.2 0.6,5273,2277,6930,6930,29,,,80,80,1,1,
0.33 0.33 0.33,0.33 0.33 0.33,4999,1252,5478,5548,17,personalizedAds,personalizedContent personalizedAds externalContent identification,80,80,1,1,
